Country,Pop,X,Y,GHI,SolarRestriction,WindVel,TravelHours,NightLights,Elevation,Slope,LandCover,GridDistCurrent,GridDistPlan,SubstationDist,RoadDist,HydropowerDist,Hydropower,HydropowerFID,X_deg,Y_deg,RoadDistClassified,SubstationDistClassified,LandCoverClassified,ElevationClassified,SlopeClassified,GridClassification,GridPenalty,WindCF,PopStartCalibrated,IsUrban,PopFuture,ElecStart,NewConnections
Benin,51955.80078,252.9864197,702.6239013999998,2084,0.0,6.0,1.0,6,0.0,0.0,0.0,11.79677105,11.79677105,60.93687057,4.397342682,36.241642,290.09899900000005,7616,2.27261567491186,6.341157567799855,5,1,1,5,5,3.08,1.0485912338854266,0.13746231139593137,65128.89843995127,1,108891.83714347407,1,43762.9387035228
Benin,437308.6875,262.98641969999994,702.6239013999998,2084,0.0,0.0,0.0,29,0.0,0.0,0.0,5.634908199,5.265428066,54.5675621,4.120641708,45.92065811,4223.689941,14215,2.362447203323812,6.341157567799855,5,1,1,5,5,3.08,1.0485912338854266,0.0,548185.81693499,1,916535.7027661696,1,368349.88583117956
Benin,392754.2188,272.98641969999994,702.6239013999998,2076,0.0,0.0,0.0,20,0.0,0.0,0.0,2.301276922,1.822358489,49.41594315,1.05674839,44.14570999,4223.689941,14215,2.4522787317357637,6.341157567799855,5,1,1,5,5,3.08,1.0485912338854266,0.0,492334.81621044123,1,823155.9862213711,1,330821.17001092987
Benin,15164.19434,282.98641969999994,702.6239013999998,2067,0.0,0.0,0.0,6,0.0,0.0,0.0,10.58585167,10.58585167,45.8939209,1.594831944,44.59799194,4223.689941,14215,2.542110260147716,6.341157567799855,5,1,1,5,5,3.08,1.0485912338854266,0.0,19008.989530842216,1,31781.95611834185,1,12772.966587499632
Benin,4706.883301,292.98641969999994,702.6239013999998,0,0.0,0.0,0.0,0,0.0,0.0,0.0,18.87042618,15.91233826,44.39108276,3.11017704,47.21353149,4223.689941,14215,2.631941788559668,6.341157567799855,5,1,1,5,5,3.08,1.0485912338854266,0.0,5900.28677986496,0,7351.800042055457,0,7351.800042055457
Benin,2760.272217,302.98641969999994,702.6239013999998,0,0.0,0.0,0.0,0,0.0,0.0,0.0,27.15500069,19.67766762,45.10969543,10.79778576,51.66482925,4223.689941,14215,2.7217733169716203,6.341157567799855,3,1,1,5,5,2.98,1.0438167680820034,0.0,3460.123531708025,0,4311.338969613666,0,4311.338969613666
Benin,20297.39453,192.9864197,712.6239013999998,2049,1.0,0.0,0.0,0,5.0,0.105670638,14.0,11.55869675,11.55869675,64.38744354,4.808934212,24.61576271,290.09899900000005,7616,1.7336265044401469,6.431025896483014,5,1,5,5,5,4.640000000000001,1.2106516233894706,0.0,25443.683421175683,1,42540.40061775758,1,17096.717196581896
Benin,31889.93555,202.9864197,712.6239013999998,2049,1.0,5.0,2.0,0,6.0,0.149440676,14.0,14.82267475,14.82267475,73.57241058,2.436193228,14.75117397,290.09899900000005,7616,1.823458032852099,6.431025896483014,5,1,5,5,5,4.640000000000001,1.2106516233894706,0.07743075958216943,39975.44725539194,1,66836.68842157886,1,26861.24116618692
Benin,49353.89063,212.9864197,712.6239013999998,2049,1.0,5.0,1.0,0,7.0,2.337823629,14.0,18.08207703,18.08207703,82.94610596,5.109431267,5.409113884,290.09899900000005,7616,1.9132895612640513,6.431025896483014,4,1,5,5,5,4.59,1.2014704120581874,0.07743075958216943,61867.28877625304,1,103438.6101300851,1,41571.32135383206
Benin,20340.87695,222.9864197,712.6239013999998,2058,1.0,5.0,1.0,0,35.0,0.43568328,14.0,21.34148026,21.34148026,79.58171082,3.932390928,6.396865845,290.09899900000005,7616,2.0031210896760037,6.431025896483014,5,1,5,5,5,4.640000000000001,1.2106516233894706,0.07743075958216943,25498.19056135229,1,42631.53347542045,1,17133.342914068162
Benin,21463.2793,232.9864197,712.6239013999998,2058,1.0,5.0,1.0,0,32.0,0.298879325,14.0,16.24449348,16.24449348,70.69345856,8.469884872,15.8928051,290.09899900000005,7616,2.0929526180879554,6.431025896483014,4,1,5,5,5,4.59,1.2014704120581874,0.07743075958216943,26905.171640740293,1,44983.92631839055,1,18078.754677650257
Benin,18420.38867,242.9864197,712.6239013999998,2058,1.0,5.0,0.0,0,18.0,3.80587101,8.0,10.08263016,10.08263016,62.14403915,6.194212437000001,25.77290535,290.09899900000005,7616,2.1827841464999076,6.431025896483014,4,1,2,5,5,3.42,1.0682246717247124,0.07743075958216943,23090.773405511143,1,38606.468056696074,1,15515.694651184931
Benin,69520.52344,252.9864197,712.6239013999998,2058,1.0,5.0,0.0,11,16.0,0.105670638,14.0,3.920767307,3.920767307,54.09434509,1.7198591230000002,35.71979904,290.09899900000005,7616,2.27261567491186,6.431025896483014,5,1,5,5,5,4.640000000000001,1.2106516233894706,0.07743075958216943,87147.05658735518,1,145704.95311221635,1,58557.896524861164
